code commune;code postale;Ville;;;;;;;departement;
67539;67170;Wingersheim;;48.7299632936;7.6382063650;539;10;6;67;
72022;72200;Bailleul;Le;47.7724310115;-0.1795617244;22;17;1;72;
86141;86160;Magné;;46.3496002634;0.3914445983;141;8;2;86;
88509;88150;Villoncourt;;48.2696270418;6.5163456339;509;6;1;88;
55482;55220;Senoncourt-les-Maujouy;;49.0585412777;5.3439420010;482;18;3;55;
19139;19290;Millevaches;;45.6456743847;2.0892643839;139;23;3;19;
80100;80610;Bettencourt-Saint-Ouen;;50.0175313479;2.1222553636;100;34;2;80;
28240;28240;Meaucé;;48.4843548386;0.9853743749;240;17;4;28;
40057;40320;Buanes;;43.7151108086;-0.4226695833;57;1;2;40;
9229;9600;Peyrat;Le;42.9558799437;1.9277350705;229;10;2;9;
52175;52300;Donjeux;;48.3533734076;5.1622473262;175;10;3;52;
32132;32500;Fleurance;;43.8402794076;0.6424558655;132;8;2;32;
14626;14100;Saint-Martin-de-Mailloc;;49.0884065690;0.2864446884;626;26;3;14;
61417;61570;Saint-Loyer-des-Champs;;48.7006543083;0.0295556265;417;24;2;61;
72036;72610;Béthon;;48.3652173718;0.0923040851;36;29;2;72;
11246;11240;Montgradail;;43.1233667557;2.0329980006;246;1;2;11;
25477;25320;Rancenay;;47.1858495280;5.9449068527;477;7;1;25;
2242;2310;Crouttes-sur-Marne;;48.9791200153;3.2475764213;242;7;1;2;
54186;54690;Eulmont;;48.7501265245;6.2221504266;186;42;3;54;
19230;19210;Saint-Pardoux-Corbier;;45.4428777879;1.4552559181;230;15;1;19;
9179;9120;Malléon;;43.0330014748;1.7154794374;179;19;2;9;
11293;11250;Pomas;;43.1071292824;2.2805329560;293;27;2;11;
8329;8270;Novion-Porcien;;49.5959529049;4.4285665343;329;19;2;8;
28202;28340;Lamblore;;48.6259517253;0.9156457293;202;14;3;28;
59566;59320;Sequedin;;50.6248188486;2.9825430078;566;74;5;59;
42017;42660;Bessat;Le;45.3743662773;4.5151147923;17;24;3;42;
18138;18500;Marmagne;;47.0892553874;2.2707565141;138;35;1;18;
71401;71470;Sainte-Croix;;46.5587984571;5.2382309091;401;34;4;71;
30007;30100;Alès;;44.1250099126;4.0882850126;7;98;1;30;
80127;80220;Bouvaincourt-sur-Bresle;;50.0359241083;1.4961190647;127;22;1;80;
57201;57412;Etting;;49.0254317079;7.1869314787;201;26;6;57;
64360;64660;Lurbe-Saint-Christau;;43.1077815258;-0.6025613542;360;27;2;64;
6142;6440;Touët-de-l'Escarène;;43.8520343234;7.3779921041;142;9;2;6;
24140;24520;Cours-de-Pile;;44.8364921675;0.5576918071;140;48;1;24;
9028;9310;Aulos;;42.7914566689;1.6718586657;28;3;1;9;
73179;73290;Motte-Servolex;La;45.6011711771;5.8540965379;179;19;2;73;
35058;35630;Chapelle-Chaussée;La;48.2664350425;-1.8641475616;58;4;3;35;
39414;39350;Petit-Mercey;Le;47.1961202234;5.7431295132;414;14;1;39;
8353;8600;Rancennes;;50.1212664141;4.8224451631;353;11;1;8;
38426;38530;Saint-Maximin;;45.4259637947;6.0500779573;426;10;1;38;
27278;27780;Garennes-sur-Eure;;48.9091632866;1.4336732218;278;32;3;27;
49202;49490;Méon;;47.4730078794;0.1135229659;202;22;3;49;
66032;66400;Calmeilles;;42.5519868705;2.6715407732;32;3;1;66;
80267;80200;Ennemain;;49.8401372627;2.9568289476;267;24;4;80;
;;;;42.4221587053;9.4048654879;;;;;
2463;2140;Marfontaine;;49.8080469097;3.7639268819;463;27;5;2;
21518;21500;Quincy-le-Vicomte;;47.6174690195;4.2397328467;518;21;3;21;
69118;69700;Loire-sur-Rhône;;45.5468466677;4.7829009808;118;7;1;69;
87075;87170;Isle;;45.8035870921;1.1952432612;75;31;2;87;
36245;36250;Villers-les-Ormes;;46.8632127183;1.6235404278;245;25;2;36;
81179;81470;Montgey;;43.5093604000;1.9451968725;179;10;2;81;
25373;25210;Mémont;Le;47.1601369438;6.6877498800;373;25;3;25;
24087;24220;Castels;;44.8705381917;1.0803818010;87;32;4;24;
51347;51160;Mareuil-sur-Ay;;49.0453428007;4.0405122954;347;3;2;51;
57075;57580;Beux;;49.0006365532;6.3122866414;75;23;4;57;
8153;8110;Escombres-et-le-Chesnois;;49.6972803990;5.1260972191;153;27;3;8;
9133;9400;Génat;;42.8287813680;1.5658934244;133;18;1;9;
42014;42670;Belleroche;;46.1603955892;4.4090508855;14;1;2;42;
7114;7570;Labatie-d'Andaure;;45.0327655678;4.4952571403;114;15;3;7;
9272;9000;Saint-Paul-de-Jarrat;;42.8959154584;1.6720687265;272;21;1;9;
36141;36230;Neuvy-Saint-Sépulchre;;46.5924338706;1.8127611189;141;16;3;36;
38136;38300;Crachier;;45.5462955690;5.2200202798;136;4;2;38;
62702;62380;Remilly-Wirquin;;50.6699885591;2.1745701121;702;34;5;62;
26292;26170;Saint-Auban-sur-l'Ouvèze;;44.2973942019;5.4301224175;292;3;2;26;
48051;48160;Collet-de-Dèze;Le;44.2554480808;3.9252150997;51;22;1;48;
22165;22510;Penguily;;48.3715193547;-2.4942172628;165;26;4;22;
77042;77169;Boissy-le-Châtel;;48.8253832401;3.1370519017;42;7;1;77;
17356;17380;Saint-Loup;;45.9997627208;-0.6476208515;356;38;5;17;
2610;2200;Pommiers;;49.3921873782;3.2788493717;610;31;4;2;
19052;19290;Chavanac;;45.6193925333;2.0992329883;52;23;3;19;
21413;21140;Millery;;47.5135595984;4.3175087087;413;33;3;21;
33089;33390;Campugnan;;45.1842358526;-0.5600051360;89;7;1;33;
46149;46090;Lamagdelaine;;44.4740446239;1.5016313626;149;2;1;46;
60132;60640;Catigny;;49.6348936549;2.9419257001;132;18;3;60;
60221;60120;Esquennoy;;49.6550975512;2.2690644320;221;6;2;60;
47218;47800;Puysserampion;;44.5994586370;0.3193754641;218;17;2;47;
38550;38114;Villard-Reculas;;45.0936836388;6.0372345748;550;3;1;38;
66107;66460;Maury;;42.8152827939;2.6129265331;107;15;2;66;
50134;50420;Chevry;;48.9712032014;-1.1138742220;134;45;4;50;
58064;58350;Châteauneuf-Val-de-Bargis;;47.2837806445;3.2165697216;64;9;4;58;
80479;80290;Lignières-Châtelain;;49.7760927135;1.8633103700;479;35;2;80;
80615;80300;Ovillers-la-Boisselle;;50.0291342676;2.6987069207;615;6;4;80;
72194;72170;Meurcé;;48.2372341290;0.2017248755;194;22;2;72;
15229;15100;Soulages;;45.0897253064;3.2616545601;229;16;3;15;
10302;10210;Praslin;;48.0459143506;4.2071863766;302;7;3;10;
70554;70500;Villars-le-Pautel;;47.8959698741;5.9200265784;554;12;2;70;
10445;10500;Yèvres-le-Petit;;48.4793934797;4.4920225676;445;6;1;10;
18223;18110;Saint-Martin-d'Auxigny;;47.2103197455;2.3816569900;223;23;1;18;
18131;18350;Lugny-Bourbonnais;;46.9350965146;2.7031815912;131;21;2;18;
28362;28240;Saint-Victor-de-Buthon;;48.4084331370;0.9792822907;362;17;4;28;
32278;32300;Montaut;;43.3996449694;0.4219861289;278;17;3;32;
78677;78930;Villette;;48.9262788706;1.6937417246;677;7;1;78;
22362;22220;Tréguier;;48.7850465816;-3.2317877654;362;47;3;22;
27062;27520;Berville-en-Roumois;;49.2948046774;0.8276146724;62;7;2;27;
67129;67330;Ernolsheim-lès-Saverne;;48.7888603168;7.3772842605;129;21;4;67;
61296;61290;Moulicent;;48.5648597083;0.7682077011;296;19;3;61;
51477;51110;Saint-Étienne-sur-Suippe;;49.3844633848;4.1012101924;477;5;3;51;
61096;61140;Chapelle-d'Andaine;La;48.5439558211;-0.4663708289;96;17;1;61;
1285;1600;Parcieux;;45.9184267932;4.8274742340;285;42;2;1;
55024;55150;Azannes-et-Soumazannes;;49.2932309678;5.4679782466;24;6;3;55;
14352;14380;Landelles-et-Coupigny;;48.8983991959;-1.0029545863;352;30;4;14;
51241;51230;Euvy;;48.7176600126;4.0199512282;241;13;2;51;
34158;34210;Minerve;;43.3629052396;2.7216054759;158;27;1;34;
35136;35150;Janzé;;47.9428950804;-1.5003871838;136;18;3;35;
43144;43150;Moudeyres;;44.9490292294;4.1032168227;144;13;2;43;
44050;44160;Crossac;;47.4044611195;-2.1533666752;50;31;3;44;
66049;66400;Céret;;42.4739622057;2.7526802146;49;3;1;66;
5069;5300;Lagrand;;44.3375164992;5.7419452558;69;15;2;5;
39417;39150;Piards;Les;46.4964907135;5.8247145569;417;28;3;39;
38405;38134;Saint-Joseph-de-Rivière;;45.3646525632;5.6910220254;405;29;1;38;
86049;86200;Chalais;;46.9719782198;0.0979602731;49;12;1;86;
62474;62360;Isques;;50.6822962991;1.6563435639;474;44;3;62;
1374;1160;Saint-Martin-du-Mont;;46.1061500835;5.3255147082;374;25;2;1;
5153;5260;Saint-Michel-de-Chaillol;;44.6888900905;6.1698201089;153;18;2;5;
31115;31230;Castelgaillard;;43.3520912460;0.9019128256;115;16;2;31;
86106;86200;Glénouze;;47.0077939260;-0.0043658879;106;27;1;86;
32108;32400;Corneillan;;43.6540927627;-0.1850697735;108;24;3;32;
82190;82600;Verdun-sur-Garonne;;43.8491453350;1.2284564271;190;23;2;82;
8406;8400;Savigny-sur-Aisne;;49.3595238140;4.7215082336;406;17;4;8;
21248;21500;Éringes;;47.5887565678;4.4670359876;248;21;3;21;
80435;80240;Hesbécourt;;49.9465103458;3.1425154932;435;36;4;80;
24252;24200;Marcillac-Saint-Quentin;;44.9556998288;1.1998843181;252;36;4;24;
25491;25640;Rignosot;;47.3835277032;6.1996281942;491;13;1;25;
56045;56230;Cours;Le;47.7495071048;-2.5084810610;45;29;3;56;
72223;72430;Noyen-sur-Sarthe;;47.8589974473;-0.1003355863;223;17;1;72;
74308;74500;Vinzier;;46.3449767077;6.6104344909;308;13;4;74;
21367;21130;Magny-Montarlot;;47.2486656169;5.3467374893;367;3;2;21;
62805;62550;Tangry;;50.4621592652;2.3601330041;805;27;1;62;
39461;39250;Rix;;46.7622805418;6.0550214456;461;20;2;39;
60500;60330;Plessis-Belleville;Le;49.0985806649;2.7589601953;500;25;4;60;
14347;14260;Jurques;;49.0211940681;-0.7457685844;347;1;4;14;
71375;71220;Rousset;Le;46.5767698409;4.4720173358;375;21;3;71;
10274;10170;Orvilliers-Saint-Julien;;48.4387695312;3.8224913133;274;20;2;10;
62073;62580;Bailleul-Sir-Berthoult;;50.3357112804;2.8437673754;73;45;1;62;
41245;41500;Séris;;47.7567732237;1.5077553278;245;8;1;41;
55221;55000;Guerpont;;48.7221791424;5.2561900922;221;11;1;55;
1263;1090;Montmerle-sur-Saône;;46.0849573236;4.7608579486;263;32;2;1;
13078;13230;Port-Saint-Louis-du-Rhône;;43.4148193741;4.8067966359;78;28;2;13;
60238;60700;Fleurines;;49.2623361218;2.5925834949;238;30;4;60;
13003;13980;Alleins;;43.7074197745;5.1510502921;3;9;2;13;
24047;24640;Boissière-d'Ans;La;45.2320869292;0.9737942515;47;40;3;24;
19165;19260;Peyrissac;;45.5060455559;1.6941176730;165;24;2;19;
9101;9120;Coussa;;43.0646378158;1.6893986966;101;19;2;9;
10116;10320;Crésantignes;;48.1427730557;4.0203843535;116;5;3;10;
2502;2340;Montcornet;;49.6890129328;4.0291506115;502;26;2;2;
9123;9350;Fornex;;43.1641429511;1.2416725627;123;8;2;9;
